Watchlist Scanner

Results
Industry,Symbol,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),1
Financial Services,MAMTF,563 M,14.36,($0.69),$10.79,$1.28,11.988,1.3727,8.9622,
Insurance,HIPO,593 M,23.56,($0.70),$12.83,($2.11),-12.021,-3.9022,4.772,
Banks,BCS,"63,367 M",17.83,($0.80),$5.56,$0.48,8.9829,.4189,21.281,
Capital Markets,FDUS,717 M,20.49,($0.83),$19.39,$2.33,12.101,5.5065,1.832,
Financial Services,CNNE,"1,172 M",18.65,($0.84),$27.38,($4.31),-13.817,-1.9415,1.2189,
Banks,NU,"57,941 M",12.01,($0.87),$1.78,$0.44,27.908,4.3873,6.2957,
Consumer Finance,PRLPF,911 M,23.44,($0.97),$5.99,$1.45,32.928,14.997,2.4023,
Capital Markets,INV,305 M,5.71,($1.20),$5.55,($4.24),-128.53,-17.055,2.5255,
Financial Services,STNE,"3,707 M",13.65,($1.21),$7.37,($0.82),-10.305,7.1259,4.7243,
Banks,IBN,"122,101 M",34.24,($1.33),$5.16,$0.83,18.227,2.18,8.4173,
Capital Markets,BN,"88,530 M",57.72,($1.53),$27.44,$0.29,.9446,2.6931,11.943,
Banks,NWG,"57,685 M",14.30,($1.58),$6.66,$0.74,12.781,.7218,17.072,
Financial Services,ACTG,359 M,3.73,($1.70),$5.62,($0.12),-1.8821,.9653,1.4838,
Capital Markets,MFIC,"1,225 M",13.125,($1.77),$14.93,$1.22,8.6409,5.5871,2.4085,
Financial Services,LDI,273 M,1.31,($1.77),$1.30,($0.45),-30.966,-2.7175,24.532,
Banks,ITUB,"71,066 M",6.59,($1.88),$3.27,$0.67,21.149,1.5816,13.935,
Banks,GGAL,"9,324 M",58.05,($1.91),$3.70,$1.06,31.073,5.933,5.3628,
Consumer Finance,SLM,"6,793 M",32.37,($1.95),$10.20,$2.78,27.596,2.1789,13.443,
Capital Markets,NMR,"18,272 M",6.09,($1.96),$7.83,$0.74,9.8799,.6203,16.365,
Financial Services,CODI,506 M,6.72,($1.99),$11.67,($1.25),2.7444,4.1237,4.6157,
Consumer Finance,PRAA,563 M,14.19,($1.99),$30.75,$1.79,6.9349,4.5158,4.2228,
Banks,INTR,"3,130 M",7.12,($2.12),$3.55,$0.40,12.357,1.5155,9.051,
Capital Markets,MSIF,742 M,15.73,($2.15),$15.35,$1.50,9.2472,4.9017,1.8395,
Consumer Finance,SOFI,"14,701 M",13.30,($2.19),$6.05,$0.43,7.5127,1.3952,5.6524,
Capital Markets,SCM,377 M,13.27,($2.65),$13.25,$1.42,10.827,4.6583,2.7141,
Banks,MUFG,"162,472 M",14.12,($2.78),$11.89,$1.06,9.6578,.479,20.132,
Banks,BBD,"30,462 M",2.88,($2.80),$2.82,$0.31,11.267,.9482,12.051,
Banks,BBDO,"26,654 M",2.52,($2.80),$2.82,$0.31,11.267,.9482,12.051,
Banks,HDB,"192,517 M",75.39,($3.24),$7.99,$1.08,14.573,1.7438,8.418,
Insurance,ABL,741 M,7.73,($3.46),$4.50,($0.23),-6.1228,2.4163,1.9888,
Capital Markets,CG,"16,323 M",45.20,($3.53),$15.45,$2.94,18.984,5.1213,4.3202,
Financial Services,GHLD,847 M,13.62,($3.71),$19.39,$0.71,3.6922,2.5577,3.792,
Banks,BBVA,"86,580 M",15.04,($3.71),$10.34,$1.91,19.384,1.4162,14.032,
Capital Markets,ARCC,"15,307 M",22.05,($3.73),$19.81,$2.04,10.288,5.3687,2.0712,
Financial Services,PAGS,"2,661 M",8.91,($3.94),$8.69,$1.20,15.038,6.1192,4.6268,
Financial Services,RDN,"4,588 M",34.15,($4.32),$32.48,$3.92,13.22,6.7317,1.911,
Capital Markets,CSWC,"1,118 M",20.82,($4.61),$16.70,$1.47,8.607,6.3745,2.1308,
Capital Markets,LPLA,"30,963 M",387.16,($5.09),$41.89,$14.44,40.359,8.7141,4.47,
Capital Markets,TRIN,941 M,14.56,($5.28),$13.05,$2.19,17.562,6.8753,2.2286,
Banks,VBNK,378 M,11.63,($5.49),$11.03,$0.88,7.7317,.7583,9.5373,
Mortgage Real Estate Investment Trusts (REITs),EFC,"1,188 M",12.57,($5.61),$13.58,$1.38,9.6137,.9653,12.98,
Insurance,LNC,"5,658 M",33.14,($6.01),$42.22,$7.17,16.913,.2665,53.129,
Financial Services,RKT,"1,930 M",12.75,($6.06),$3.89,($2.54),1.5432,1.7277,43.24,
Financial Services,WD,"2,327 M",68.49,($6.13),$51.95,$2.92,5.3372,2.2276,2.6047,
Financial Services,NEWT,296 M,10.85,($6.97),$10.73,$1.92,18.177,5.831,7.5626,
Banks,IFS,"3,921 M",34.61,($7.16),$26.47,$3.83,15.168,1.7152,8.7727,
Banks,SMFG,"99,492 M",15.41,($7.95),$25.31,$2.01,7.6275,.404,20.83,
Financial Services,MBIN,"1,469 M",32.02,($7.98),$35.08,$5.44,14.811,1.5923,11.68,
Capital Markets,BXSL,"7,269 M",31.88,($8.11),$27.39,$3.14,11.585,5.5639,2.2383,
Capital Markets,JEF,"10,024 M",48.60,($8.23),$49.47,$2.85,6.8026,1.0444,6.8814,
Insurance,JRVR,267 M,5.82,($8.36),$10.56,($2.78),-11.675,-.7885,10.215,
Banks,BBAR,"4,015 M",19.66,($8.45),$4.21,$0.57,15.621,3.1649,5.8836,
Banks,BMO,"77,514 M",107.35,($8.72),$84.44,$7.81,9.9986,.5876,17.137,
Financial Services,UWMC,866 M,4.30,($8.82),$0.82,($2.51),-4.7983,1.8402,85.212,
Capital Markets,PFLT,"1,022 M",10.30,($10.14),$11.07,$0.86,7.586,5.6454,2.3164,
Banks,SCBFY,"36,482 M",31.29,($11.50),$18.06,$1.46,8.2066,.5025,17.294,
Capital Markets,OPY,687 M,65.29,($12.30),$82.87,$6.74,9.1,2.232,4.0953,
Banks,SHG,"20,255 M",41.46,($12.71),$71.35,$5.99,8.1427,.6493,13.134,
Banks,TD,"118,937 M",69.05,($13.50),$51.55,$6.99,14.597,.8621,16.821,
Banks,WF,"10,223 M",41.69,($14.71),$27.88,$2.49,8.6025,.5758,15.794,
Banks,AAVMY,"21,543 M",25.86,($15.54),$35.73,$2.82,8.9084,.5827,14.836,
Banks,MFG,"69,765 M",5.56,($16.07),$27.75,$2.34,8.5301,.3162,27.132,
Banks,ING,"63,701 M",21.26,($18.02),$18.33,$1.78,10.237,.519,20.879,
Capital Markets,MS,"205,401 M",128.03,($19.12),$60.41,$8.53,13.884,1.1418,13.397,
Consumer Finance,LC,"1,145 M",10.03,($19.40),$11.95,$0.44,3.8582,.4092,7.6826,
Banks,CM,"63,469 M",67.94,($19.53),$46.34,$5.77,13.359,.7509,18.27,
Banks,EQGPF,"2,641 M",68.98,($20.13),$50.88,$8.33,13.425,.7566,16.717,
Banks,RY,"178,626 M",126.66,($20.91),$62.83,$9.11,14.346,.8531,18.365,
Consumer Finance,EHMEF,"1,760 M",109.53,($21.21),$49.59,$10.65,23.369,5.4089,4.6247,
Banks,KB,"27,441 M",74.75,($26.40),$97.31,$9.87,9.5048,.7549,13.228,
Banks,WAL,"7,994 M",72.41,($30.64),$60.78,$7.28,12.092,1.0115,12.531,
Banks,BKZHY,"13,939 M",27.28,($30.71),$71.26,$11.82,15.196,1.8318,9.0724,
Financial Services,BLX,"1,524 M",41.02,($33.71),$36.89,$5.60,15.82,1.7878,9.0429,
Mortgage Real Estate Investment Trusts (REITs),PMT,"1,068 M",12.28,($34.53),$15.64,$0.86,6.3732,.9058,10.928,
Capital Markets,DB,"53,915 M",27.78,($34.67),$44.57,$1.79,5.1645,.2959,17.711,
Capital Markets,STT,"27,457 M",96.28,($36.98),$80.13,$8.90,11.22,.807,16.111,
Financial Services,COOP,"8,288 M",129.53,($38.77),$76.43,$8.81,12.394,3.1079,3.7722,
Banks,C,"140,678 M",75.32,($39.06),$103.90,$6.33,6.4351,.5409,13.251,
Banks,JPM,"733,676 M",264.00,($48.99),$119.24,$20.39,17.352,1.4131,13.151,
Financial Services,PFSI,"4,960 M",96.00,($50.64),$75.57,$6.51,9.3226,1.5954,6.1154,
Mortgage Real Estate Investment Trusts (REITs),RWT,725 M,5.45,($51.89),$8.39,$0.21,3.3094,.2283,17.798,
Financial Services,ONIT,297 M,37.06,($65.10),$57.66,$2.98,5.4977,2.2781,35.331,
Capital Markets,GS,"184,243 M",600.45,($75.51),$371.45,$42.98,12.222,.859,16.182,
Banks,NTIOF,"38,524 M",98.44,($79.08),$58.01,$7.57,13.562,.7937,17.136,
